"Mon","status","person_days","Deaths","MortalityRate","MR_unvac","person_days_AllGroups","Deaths_AllGroups","Average_mortality_rate","MR_ComparedToUnvacc","GroupSize_Share"
"2020-01","Doses_0",17448126,1252,26.2087171997726,26.2087171997726,17448126,1252,26.2087171997726,1,1
"2020-02","Doses_0",16287014,1202,26.9558618909519,26.9558618909519,16287014,1202,26.9558618909519,1,1
"2020-03","Doses_0",17371747,1296,27.2490728767809,27.2490728767809,17371747,1296,27.2490728767809,1,1
"2020-04","Doses_0",16773798,1148,24.9977375428034,24.9977375428034,16773798,1148,24.9977375428034,1,1
"2020-05","Doses_0",17298124,1116,23.5643472089806,23.5643472089806,17298124,1116,23.5643472089806,1,1
"2020-06","Doses_0",16707631,1077,23.5445857045801,23.5445857045801,16707631,1077,23.5445857045801,1,1
"2020-07","Doses_0",17230276,1151,24.3990723073734,24.3990723073734,17230276,1151,24.3990723073734,1,1
"2020-08","Doses_0",17192748,1210,25.7057510527113,25.7057510527113,17192748,1210,25.7057510527113,1,1
"2020-09","Doses_0",16603045,1234,27.1467372400665,27.1467372400665,16603045,1234,27.1467372400665,1,1
"2020-10","Doses_0",17111400,1842,39.3182615098706,39.3182615098706,17111400,1842,39.3182615098706,1,1
"2020-11","Doses_0",16496570,2015,44.614047041294,44.614047041294,16496570,2015,44.614047041294,1,1
"2020-12","Doses_0",16988713,1830,39.3442104766853,39.3442104766853,16989597,1830,39.3421633250041,1,0.999947968159574
"2021-01","Doses_0",16737081,2154,47.0063149004298,47.0063149004298,16925899,2186,47.172472197784,1,0.988844433019481
"2021-02","Doses_0",14650453,1821,45.3992958442991,45.3992958442991,15231666,1912,45.8490883400411,1,0.961841797213778
"2021-03","Doses_0",12158488,2108,63.3258839421481,63.3258839421481,16795035,2402,52.2374916158257,1,0.723933472005268
"2021-04","Doses_0",6322574,1199,69.2652628502252,69.2652628502252,16192337,1647,37.151323493329,1,0.390467046233042
"2021-05","Doses_0",3872684,763,71.9619132364014,71.9619132364014,16686457,1280,28.0179309484332,1,0.232085457086546
"2021-06","Doses_0",2989702,559,68.2926759924568,68.2926759924568,16112632,1127,25.5474555615743,1,0.185550194406476
"2021-07","Doses_0",2813240,470,61.0212779570886,61.0212779570886,16616075,1117,24.553587414597,1,0.169308335452265
"2021-08","Doses_0",2634617,424,58.7812194334129,58.7812194334129,16580269,1138,25.0692253545464,1,0.158900739185836
"2021-09","Doses_0",2464571,397,58.8354930736424,58.8354930736424,16010171,1241,28.3117057275653,1,0.153937831144964
"2021-10","Doses_0",2480909,470,69.1954037814366,69.1954037814366,16504185,1407,31.1379659159177,1,0.15031999459531
"2021-11","Doses_0",2260221,673,108.756289761045,108.756289761045,15924255,1770,40.5979745991257,1,0.141935745188707
"2021-12","Doses_0",2136746,709,121.194681071124,121.194681071124,16395488,1898,42.2826389796998,1,0.130325245579759
"2022-01","Doses_0",2057470,460,81.6609719704297,81.6609719704297,16344271,1477,33.0069325208815,1,0.125883252914737
"2022-02","Doses_0",1825638,422,84.4282930131822,84.4282930131822,14721788,1423,35.3048658220048,1,0.124009257571159
"2022-03","Doses_0",2004084,404,73.6301472393373,73.6301472393373,16254945,1445,32.4692731965565,1,0.123290727836975
"2022-04","Doses_0",1925348,317,60.1367908554713,60.1367908554713,15687909,1384,32.2226499401545,1,0.122728146880505
"2022-05","Doses_0",1978786,306,56.4823583752867,56.4823583752867,16169093,1323,29.8857672474269,1,0.122380766812338
"2022-06","Doses_0",1905333,273,52.3337652788253,52.3337652788253,15609805,1197,28.0083095208428,1,0.122060012921366
"2022-07","Doses_0",1959421,287,53.4988397082608,53.4988397082608,16092216,1319,29.9377506491337,1,0.121762036999752
"2022-08","Doses_0",1948503,269,50.4244797159666,50.4244797159666,16049089,1367,31.1105976170984,1,0.121408947261742
"2022-09","Doses_0",1875094,296,57.6579094168079,57.6579094168079,15490926,1368,32.2551408482617,1,0.121044668343261
"2022-10","Doses_0",1925719,324,61.4528911019728,61.4528911019728,15962851,1477,33.7956076893783,1,0.120637535237283
"2022-11","Doses_0",1853052,275,54.204496150135,54.204496150135,15405712,1335,31.6511661388971,1,0.120283437727513
"2022-12","Doses_0",1904679,365,69.9940777422337,69.9940777422337,15873786,1757,40.4279262678733,1,0.119988955375863
"2020-01","Doses_1",0,0,NA,26.2087171997726,17448126,1252,26.2087171997726,NA,0
"2020-02","Doses_1",0,0,NA,26.9558618909519,16287014,1202,26.9558618909519,NA,0
"2020-03","Doses_1",0,0,NA,27.2490728767809,17371747,1296,27.2490728767809,NA,0
"2020-04","Doses_1",0,0,NA,24.9977375428034,16773798,1148,24.9977375428034,NA,0
"2020-05","Doses_1",0,0,NA,23.5643472089806,17298124,1116,23.5643472089806,NA,0
"2020-06","Doses_1",0,0,NA,23.5445857045801,16707631,1077,23.5445857045801,NA,0
"2020-07","Doses_1",0,0,NA,24.3990723073734,17230276,1151,24.3990723073734,NA,0
"2020-08","Doses_1",0,0,NA,25.7057510527113,17192748,1210,25.7057510527113,NA,0
"2020-09","Doses_1",0,0,NA,27.1467372400665,16603045,1234,27.1467372400665,NA,0
"2020-10","Doses_1",0,0,NA,39.3182615098706,17111400,1842,39.3182615098706,NA,0
"2020-11","Doses_1",0,0,NA,44.614047041294,16496570,2015,44.614047041294,NA,0
"2020-12","Doses_1",884,0,NA,39.3442104766853,16989597,1830,39.3421633250041,NA,5.2031840425644e-05
"2021-01","Doses_1",182986,30,59.881630288656,47.0063149004298,16925899,2186,47.172472197784,1.27390607869388,0.0108110062573338
"2021-02","Doses_1",335158,69,75.1951318482626,45.3992958442991,15231666,1912,45.8490883400411,1.65630612655648,0.0220040276618461
"2021-03","Doses_1",3850237,201,19.0677223246257,63.3258839421481,16795035,2402,52.2374916158257,0.30110471639125,0.22924852493609
"2021-04","Doses_1",5511130,269,17.8279681299479,69.2652628502252,16192337,1647,37.151323493329,0.25738685448286,0.340354205819703
"2021-05","Doses_1",5589809,213,13.9178726858109,71.9619132364014,16686457,1280,28.0179309484332,0.193406095806395,0.334990765265508
"2021-06","Doses_1",2562181,181,25.8023340271433,68.2926759924568,16112632,1127,25.5474555615743,0.377819929475208,0.159016912941349
"2021-07","Doses_1",791990,97,44.734466344272,61.0212779570886,16616075,1117,24.553587414597,0.733096189426419,0.0476640843279776
"2021-08","Doses_1",284058,59,75.8639080751114,58.7812194334129,16580269,1138,25.0692253545464,1.29061473726399,0.0171322914000973
"2021-09","Doses_1",129816,50,140.679885376225,58.8354930736424,16010171,1241,28.3117057275653,2.39107174983883,0.00810834562603985
"2021-10","Doses_1",113311,39,125.713743590649,69.1954037814366,16504185,1407,31.1379659159177,1.81679326545638,0.00686559196955197
"2021-11","Doses_1",168638,60,129.95291689892,108.756289761045,15924255,1770,40.5979745991257,1.19490024148899,0.0105900087633613
"2021-12","Doses_1",191045,56,107.063780784632,121.194681071124,16395488,1898,42.2826389796998,0.883403296567122,0.0116522911669357
"2022-01","Doses_1",114207,36,115.133047886732,81.6609719704297,16344271,1477,33.0069325208815,1.40989073615757,0.00698758604773501
"2022-02","Doses_1",77944,35,164.011982962127,84.4282930131822,14721788,1423,35.3048658220048,1.94261872541375,0.00529446559072852
