"Mon","status","person_days","Deaths","MortalityRate","MR_unvac","person_days_AllGroups","Deaths_AllGroups","Average_mortality_rate","MR_ComparedToUnvacc","GroupSize_Share"
"2020-01","Doses_0",4021321,1308,118.803497656616,118.803497656616,4021321,1308,118.803497656616,1,1
"2020-02","Doses_0",3724164,1250,122.594627948715,122.594627948715,3724164,1250,122.594627948715,1,1
"2020-03","Doses_0",3941285,1315,121.864759843554,121.864759843554,3941285,1315,121.864759843554,1,1
"2020-04","Doses_0",3776316,1165,112.680255042216,112.680255042216,3776316,1165,112.680255042216,1,1
"2020-05","Doses_0",3868291,1074,101.40873579573,101.40873579573,3868291,1074,101.40873579573,1,1
"2020-06","Doses_0",3711619,1052,103.524364973883,103.524364973883,3711619,1052,103.524364973883,1,1
"2020-07","Doses_0",3801933,1127,108.270385090952,108.270385090952,3801933,1127,108.270385090952,1,1
"2020-08","Doses_0",3766504,1136,110.161571579374,110.161571579374,3766504,1136,110.161571579374,1,1
"2020-09","Doses_0",3611082,1240,125.422241865458,125.422241865458,3611082,1240,125.422241865458,1,1
"2020-10","Doses_0",3684804,1965,194.777320584758,194.777320584758,3684804,1965,194.777320584758,1,1
"2020-11","Doses_0",3495548,2277,237.923853427274,237.923853427274,3495548,2277,237.923853427274,1,1
"2020-12","Doses_0",3548793,2028,208.726459954131,208.726459954131,3549135,2028,208.706346757731,1,0.999903638492196
"2021-01","Doses_0",3277033,2100,234.060810495347,234.060810495347,3482158,2148,225.30769712345,1,0.941092563864133
"2021-02","Doses_0",2162905,1396,235.742670158884,235.742670158884,3093737,1656,195.509185169909,1,0.699123745812912
"2021-03","Doses_0",1262326,1400,405.085532580332,405.085532580332,3367351,1943,210.753423091326,1,0.374872117578476
"2021-04","Doses_0",801368,671,305.830467400745,305.830467400745,3211387,1200,136.483083477638,1,0.249539529181628
"2021-05","Doses_0",635369,449,258.113395522917,258.113395522917,3284184,1059,117.776516175708,1,0.193463277331599
"2021-06","Doses_0",528294,370,255.809265295461,255.809265295461,3147426,1010,117.207680180567,1,0.167849538003435
"2021-07","Doses_0",509761,282,202.056453906831,202.056453906831,3221234,998,113.161446824416,1,0.158250223361606
"2021-08","Doses_0",483691,237,178.966013425927,178.966013425927,3191918,897,102.64337930987,1,0.151536161016668
"2021-09","Doses_0",452433,250,201.825463659813,201.825463659813,3061187,976,116.452866159434,1,0.147796590015572
"2021-10","Doses_0",452026,265,214.12761655303,214.12761655303,3129468,1174,137.021212551143,1,0.144441802887903
"2021-11","Doses_0",409793,404,360.086677908115,360.086677908115,2989486,1483,181.190261469697,1,0.137078079643123
"2021-12","Doses_0",382338,406,387.854463851357,387.854463851357,3040678,1488,178.740399345146,1,0.125741035387502
"2022-01","Doses_0",361991,285,287.565851084695,287.565851084695,3000978,1162,141.427394669338,1,0.120624343130806
"2022-02","Doses_0",315727,301,348.2130131411,348.2130131411,2678203,1193,162.699858823248,1,0.117887628383659
"2022-03","Doses_0",339868,249,267.595801899561,267.595801899561,2928495,1165,145.302023735741,1,0.116055516570798
"2022-04","Doses_0",321606,208,236.226936064626,236.226936064626,2799778,1080,140.893313684156,1,0.114868393136884
"2022-05","Doses_0",326586,144,161.047932244493,161.047932244493,2860735,965,123.208283885085,1,0.114161570365658
"2022-06","Doses_0",311941,146,170.950596426888,170.950596426888,2739672,1039,138.518315331178,1,0.113860710333208
"2022-07","Doses_0",317328,165,189.917845257904,189.917845257904,2798440,1028,134.173682480239,1,0.113394605565958
"2022-08","Doses_0",312063,147,172.054200594111,172.054200594111,2766739,1032,136.239088688886,1,0.112790906550997
"2022-09","Doses_0",296427,178,219.327186794725,219.327186794725,2646462,1056,145.743260247077,1,0.112008787581307
"2022-10","Doses_0",300410,175,212.771711993609,212.771711993609,2700721,1115,150.794454517886,1,0.111233259562909
"2022-11","Doses_0",285442,144,184.261601306045,184.261601306045,2581916,991,140.191528306885,1,0.110554332518951
"2022-12","Doses_0",290084,202,254.341845810179,254.341845810179,2633128,1313,182.13062562853,1,0.110167071255176
"2020-01","Doses_1",0,0,NA,118.803497656616,4021321,1308,118.803497656616,NA,0
"2020-02","Doses_1",0,0,NA,122.594627948715,3724164,1250,122.594627948715,NA,0
"2020-03","Doses_1",0,0,NA,121.864759843554,3941285,1315,121.864759843554,NA,0
"2020-04","Doses_1",0,0,NA,112.680255042216,3776316,1165,112.680255042216,NA,0
"2020-05","Doses_1",0,0,NA,101.40873579573,3868291,1074,101.40873579573,NA,0
"2020-06","Doses_1",0,0,NA,103.524364973883,3711619,1052,103.524364973883,NA,0
"2020-07","Doses_1",0,0,NA,108.270385090952,3801933,1127,108.270385090952,NA,0
"2020-08","Doses_1",0,0,NA,110.161571579374,3766504,1136,110.161571579374,NA,0
"2020-09","Doses_1",0,0,NA,125.422241865458,3611082,1240,125.422241865458,NA,0
"2020-10","Doses_1",0,0,NA,194.777320584758,3684804,1965,194.777320584758,NA,0
"2020-11","Doses_1",0,0,NA,237.923853427274,3495548,2277,237.923853427274,NA,0
"2020-12","Doses_1",342,0,NA,208.726459954131,3549135,2028,208.706346757731,NA,9.63615078040142e-05
"2021-01","Doses_1",203141,47,84.506574251382,234.060810495347,3482158,2148,225.30769712345,0.36104537992729,0.058337674511036
"2021-02","Doses_1",624471,204,119.318591255639,235.742670158884,3093737,1656,195.509185169909,0.506139135419233,0.201850060299243
"2021-03","Doses_1",955465,351,134.178384346889,405.085532580332,3367351,1943,210.753423091326,0.331234698736816,0.283743809302921
"2021-04","Doses_1",589606,208,128.852148723046,305.830467400745,3211387,1200,136.483083477638,0.421318875840464,0.183598551031065
"2021-05","Doses_1",554856,208,136.922012197759,258.113395522917,3284184,1059,117.776516175708,0.530472321749774,0.168947903040755
"2021-06","Doses_1",266360,110,150.839089953446,255.809265295461,3147426,1010,117.207680180567,0.58965452161878,0.0846278832290259
"2021-07","Doses_1",93954,60,233.252442684718,202.056453906831,3221234,998,113.161446824416,1.15439243921539,0.0291670831737154
"2021-08","Doses_1",40099,48,437.217885732811,178.966013425927,3191918,897,102.64337930987,2.44302187528904,0.0125626660835272
"2021-09","Doses_1",22760,31,497.484622144113,201.825463659813,3061187,976,116.452866159434,2.46492495606327,0.00743502438759867
"2021-10","Doses_1",21004,24,417.349076366406,214.12761655303,3129468,1174,137.021212551143,1.94906702407089,0.0067116839028231
"2021-11","Doses_1",28797,32,405.875612042921,360.086677908115,2989486,1483,181.190261469697,1.12716086693574,0.0096327596115185
"2021-12","Doses_1",33078,41,452.725376383094,387.854463851357,3040678,1488,178.740399345146,1.16725581004683,0.0108784948620012
"2022-01","Doses_1",20854,20,350.292509830248,287.565851084695,3000978,1162,141.427394669338,1.21812972058034,0.00694906793718581
"2022-02","Doses_1",14451,20,505.501349387586,348.2130131411,2678203,1193,162.699858823248,1.45170148820013,0.0053957821718518
"2022-03","Doses_1",13879,15,394.751062756683,267.595801899561,2928495,1165,145.302023735741,1.47517659079289,0.00473929441573231
"2022-04","Doses_1",12608,15,434.545526649746,236.226936064626,2799778,1080,140.893313684156,1.8395257284752,0.00450321418341026
"2022-05","Doses_1",12441,12,352.302869544249,161.047932244493,2860735,965,123.208283885085,2.18756530825496,0.00434888236764328
"2022-06","Doses_1",11766,4,NA,170.950596426888,2739672,1039,138.518315331178,NA,0.00429467469098491
"2022-07","Doses_1",11989,10,NA,189.917845257904,2798440,1028,134.173682480239,NA,0.0042841726104544
"2022-08","Doses_1",11827,6,NA,172.054200594111,2766739,1032,136.239088688886,NA,0.004274707516683
"2022-09","Doses_1",11696,9,NA,219.327186794725,2646462,1056,145.743260247077,NA,0.00441948533551587
"2022-10","Doses_1",11867,12,369.343557765231,212.771711993609,2700721,1115,150.794454517886,1.73586777257461,0.00439401182128772
"2022-11","Doses_1",10975,4,NA,184.261601306045,2581916,991,140.191528306885,NA,0.00425071923331356
"2022-12","Doses_1",11013,12,397.98420049033,254.341845810179,2633128,1313,182.13062562853,1.56476099802843,0.0041824780261347
"2020-01","Doses_2",0,0,NA,118.803497656616,4021321,1308,118.803497656616,NA,0
"2020-02","Doses_2",0,0,NA,122.594627948715,3724164,1250,122.594627948715,NA,0
"2020-03","Doses_2",0,0,NA,121.864759843554,3941285,1315,121.864759843554,NA,0
"2020-04","Doses_2",0,0,NA,112.680255042216,3776316,1165,112.680255042216,NA,0
"2020-05","Doses_2",0,0,NA,101.40873579573,3868291,1074,101.40873579573,NA,0
"2020-06","Doses_2",0,0,NA,103.524364973883,3711619,1052,103.524364973883,NA,0
"2020-07","Doses_2",0,0,NA,108.270385090952,3801933,1127,108.270385090952,NA,0
"2020-08","Doses_2",0,0,NA,110.161571579374,3766504,1136,110.161571579374,NA,0
"2020-09","Doses_2",0,0,NA,125.422241865458,3611082,1240,125.422241865458,NA,0
"2020-10","Doses_2",0,0,NA,194.777320584758,3684804,1965,194.777320584758,NA,0
"2020-11","Doses_2",0,0,NA,237.923853427274,3495548,2277,237.923853427274,NA,0
"2020-12","Doses_2",0,0,NA,208.726459954131,3549135,2028,208.706346757731,NA,0
"2021-01","Doses_2",1984,1,NA,234.060810495347,3482158,2148,225.30769712345,NA,0.000569761624831498
"2021-02","Doses_2",306358,56,66.7650265375802,235.742670158884,3093737,1656,195.509185169909,0.283211463128769,0.0990252241868006
"2021-03","Doses_2",1149495,192,61.0076598854279,405.085532580332,3367351,1943,210.753423091326,0.150604390872265,0.34136477011158
"2021-04","Doses_2",1820315,321,64.409319266171,305.830467400745,3211387,1200,136.483083477638,0.210604652353921,0.566831403378042
"2021-05","Doses_2",2093803,401,69.9517815190827,258.113395522917,3284184,1059,117.776516175708,0.271011821673827,0.637541319243989
"2021-06","Doses_2",2352540,530,82.2865923639981,255.809265295461,3147426,1010,117.207680180567,0.321671665289202,0.74744886774145
"2021-07","Doses_2",2617271,656,91.5472643069823,202.056453906831,3221234,998,113.161446824416,0.453077654966642,0.812505704335668
"2021-08","Doses_2",2667824,612,83.7885107863187,178.966013425927,3191918,897,102.64337930987,0.468181132173447,0.835805932357911
"2021-09","Doses_2",2585179,694,98.0525913292658,201.825463659813,3061187,976,116.452866159434,0.485828643973976,0.844502149002985
"2021-10","Doses_2",2493226,874,128.038332666192,214.12761655303,3129468,1174,137.021212551143,0.597953382787889,0.796693239873359
"2021-11","Doses_2",1409938,878,227.449363021636,360.086677908115,2989486,1483,181.190261469697,0.631651702148436,0.471632247148841
"2021-12","Doses_2",639284,656,374.800558124402,387.854463851357,3040678,1488,178.740399345146,0.966343288672429,0.21024389955135
"2022-01","Doses_2",389907,354,331.613692495903,287.565851084695,3000978,1162,141.427394669338,1.15317479890279,0.129926643914084
"2022-02","Doses_2",269805,262,354.683938399956,348.2130131411,2678203,1193,162.699858823248,1.01858323788788,0.100741056596531
"2022-03","Doses_2",276885,233,307.359553605287,267.595801899561,2928495,1165,145.302023735741,1.14859632110616,0.0945485650479171
"2022-04","Doses_2",256504,199,283.366926051835,236.226936064626,2799778,1080,140.893313684156,1.19955383061953,0.0916158352555096
"2022-05","Doses_2",255368,185,264.603435042762,161.047932244493,2860735,965,123.208283885085,1.64301044636237,0.0892665696053637
"2022-06","Doses_2",239430,166,253.232677609322,170.950596426888,2739672,1039,138.518315331178,1.48132081959494,0.0873936734032395
"2022-07","Doses_2",240231,141,214.378036140215,189.917845257904,2798440,1028,134.173682480239,1.12879353622139,0.085844613427481
"2022-08","Doses_2",230938,141,223.004659259195,172.054200594111,2766739,1032,136.239088688886,1.29613028039507,0.0834693839932137
"2022-09","Doses_2",213869,153,261.296634855916,219.327186794725,2646462,1056,145.743260247077,1.19135542964161,0.0808131762330236
"2022-10","Doses_2",209968,145,252.234864360283,212.771711993609,2700721,1115,150.794454517886,1.18547179978446,0.077745165087397
"2022-11","Doses_2",195014,119,222.880152194201,184.261601306045,2581916,991,140.191528306885,1.20958545141488,0.0755307298920646
"2022-12","Doses_2",195073,156,292.090653242632,254.341845810179,2633128,1313,182.13062562853,1.14841760431599,0.0740841311170592
"2020-01","Doses_3p",0,0,NA,118.803497656616,4021321,1308,118.803497656616,NA,0
"2020-02","Doses_3p",0,0,NA,122.594627948715,3724164,1250,122.594627948715,NA,0
"2020-03","Doses_3p",0,0,NA,121.864759843554,3941285,1315,121.864759843554,NA,0
"2020-04","Doses_3p",0,0,NA,112.680255042216,3776316,1165,112.680255042216,NA,0
"2020-05","Doses_3p",0,0,NA,101.40873579573,3868291,1074,101.40873579573,NA,0
"2020-06","Doses_3p",0,0,NA,103.524364973883,3711619,1052,103.524364973883,NA,0
"2020-07","Doses_3p",0,0,NA,108.270385090952,3801933,1127,108.270385090952,NA,0
"2020-08","Doses_3p",0,0,NA,110.161571579374,3766504,1136,110.161571579374,NA,0
"2020-09","Doses_3p",0,0,NA,125.422241865458,3611082,1240,125.422241865458,NA,0
"2020-10","Doses_3p",0,0,NA,194.777320584758,3684804,1965,194.777320584758,NA,0
"2020-11","Doses_3p",0,0,NA,237.923853427274,3495548,2277,237.923853427274,NA,0
"2020-12","Doses_3p",0,0,NA,208.726459954131,3549135,2028,208.706346757731,NA,0
"2021-01","Doses_3p",0,0,NA,234.060810495347,3482158,2148,225.30769712345,NA,0
"2021-02","Doses_3p",3,0,NA,235.742670158884,3093737,1656,195.509185169909,NA,9.69701044400348e-07
"2021-03","Doses_3p",65,0,NA,405.085532580332,3367351,1943,210.753423091326,NA,1.9303007022434e-05
"2021-04","Doses_3p",98,0,NA,305.830467400745,3211387,1200,136.483083477638,NA,3.05164092649064e-05
"2021-05","Doses_3p",156,1,NA,258.113395522917,3284184,1059,117.776516175708,NA,4.75003836569449e-05
"2021-06","Doses_3p",232,0,NA,255.809265295461,3147426,1010,117.207680180567,NA,7.37110260892552e-05
"2021-07","Doses_3p",248,0,NA,202.056453906831,3221234,998,113.161446824416,NA,7.69891290108077e-05
"2021-08","Doses_3p",304,0,NA,178.966013425927,3191918,897,102.64337930987,NA,9.52405418936201e-05
"2021-09","Doses_3p",815,1,NA,201.825463659813,3061187,976,116.452866159434,NA,0.000266236593844153
"2021-10","Doses_3p",163212,11,24.6167561208735,214.12761655303,3129468,1174,137.021212551143,0.114963013725868,0.0521532733359152
"2021-11","Doses_3p",1140958,169,54.1012464963653,360.086677908115,2989486,1483,181.190261469697,0.150245065467739,0.381656913596518
"2021-12","Doses_3p",1985978,385,70.8070532503381,387.854463851357,3040678,1488,178.740399345146,0.182560882623938,0.653136570199146
"2022-01","Doses_3p",2228226,503,82.4515780715242,287.565851084695,3000978,1162,141.427394669338,0.286722424656883,0.742499945017924
"2022-02","Doses_3p",2078220,610,107.208332130381,348.2130131411,2678203,1193,162.699858823248,0.307881463599808,0.775975532847958
"2022-03","Doses_3p",2297863,668,106.17995937965,267.595801899561,2928495,1165,145.302023735741,0.396792321202046,0.784656623965552
"2022-04","Doses_3p",2209060,658,108.794917295139,236.226936064626,2799778,1080,140.893313684156,0.460552547933719,0.789012557424196
"2022-05","Doses_3p",2266340,624,100.565669758289,161.047932244493,2860735,965,123.208283885085,0.624445581863268,0.792222977661335
"2022-06","Doses_3p",2176535,723,121.328510683265,170.950596426888,2739672,1039,138.518315331178,0.709728501796449,0.794450941572568
