"Mon","status","person_days","Deaths","MortalityRate","MR_unvac","person_days_AllGroups","Deaths_AllGroups","Average_mortality_rate","MR_ComparedToUnvacc","GroupSize_Share"
"2020-01","Doses_0",7417010,1861,91.6447800393959,91.6447800393959,7417010,1861,91.6447800393959,1,1
"2020-02","Doses_0",6884110,1890,100.277668427727,100.277668427727,6884110,1890,100.277668427727,1,1
"2020-03","Doses_0",7299902,1904,95.2664843993796,95.2664843993796,7299902,1904,95.2664843993796,1,1
"2020-04","Doses_0",7010162,1698,88.4707799905338,88.4707799905338,7010162,1698,88.4707799905338,1,1
"2020-05","Doses_0",7193210,1554,78.9075391932114,78.9075391932114,7193210,1554,78.9075391932114,1,1
"2020-06","Doses_0",6914241,1622,85.683374357359,85.683374357359,6914241,1622,85.683374357359,1,1
"2020-07","Doses_0",7094320,1610,82.8906082612569,82.8906082612569,7094320,1610,82.8906082612569,1,1
"2020-08","Doses_0",7043137,1685,87.3824050277596,87.3824050277596,7043137,1685,87.3824050277596,1,1
"2020-09","Doses_0",6767434,1619,87.3802020086195,87.3802020086195,6767434,1619,87.3802020086195,1,1
"2020-10","Doses_0",6932300,2665,140.413895821012,140.413895821012,6932300,2665,140.413895821012,1,1
"2020-11","Doses_0",6614709,3001,165.708763605474,165.708763605474,6614709,3001,165.708763605474,1,1
"2020-12","Doses_0",6749849,2713,146.806728565335,146.806728565335,6750649,2713,146.789330922108,1,0.999881492875722
"2021-01","Doses_0",6252064,2766,161.591675964929,161.591675964929,6661936,2871,157.406608229199,1,0.938475542244777
"2021-02","Doses_0",4233169,1915,165.231709388404,165.231709388404,5945389,2307,141.728615234428,1,0.712008751656115
"2021-03","Doses_0",2737429,1744,232.698638028603,232.698638028603,6507661,2496,140.090886725661,1,0.420647141884004
"2021-04","Doses_0",1864092,1065,208.67599345955,208.67599345955,6232430,1838,107.715529897648,1,0.299095537374668
"2021-05","Doses_0",1518379,791,190.277098142163,190.277098142163,6386463,1627,93.0502141795858,1,0.237749596294537
"2021-06","Doses_0",1288533,584,165.541743983274,165.541743983274,6134114,1491,88.7801808052475,1,0.210060165168107
"2021-07","Doses_0",1256544,579,168.302701696081,168.302701696081,6292476,1551,90.0285912890252,1,0.199689915384659
"2021-08","Doses_0",1200265,491,149.415129158977,149.415129158977,6245214,1491,87.2008148960148,1,0.192189571085955
"2021-09","Doses_0",1126918,453,146.823681936041,146.823681936041,5998313,1532,93.2867291186705,1,0.18787249014848
"2021-10","Doses_0",1133068,475,153.118568347178,153.118568347178,6148692,1703,101.163101030268,1,0.184277891948401
"2021-11","Doses_0",1038061,767,269.875036245462,269.875036245462,5892301,2224,137.860574332506,1,0.176172432467384
"2021-12","Doses_0",976354,811,303.391751352481,303.391751352481,6014753,2332,141.61229895891,1,0.16232653277699
"2022-01","Doses_0",927112,540,212.741286921106,212.741286921106,5950456,1877,115.213733199607,1,0.155805202155936
"2022-02","Doses_0",811192,566,254.849036972751,254.849036972751,5321721,1926,132.188722407657,1,0.152430388590458
"2022-03","Doses_0",878433,547,227.441079740857,227.441079740857,5833269,1885,118.029230265225,1,0.150590175080217
"2022-04","Doses_0",834129,421,184.34828425819,184.34828425819,5590122,1756,114.734347479357,1,0.149214811411987
"2022-05","Doses_0",848832,355,152.755492252884,152.755492252884,5724595,1525,97.3005513927186,1,0.148278087794857
"2022-06","Doses_0",810898,324,145.938206778164,145.938206778164,5495613,1482,98.4968373864753,1,0.147553694192076
"2022-07","Doses_0",827098,346,152.795073860655,152.795073860655,5633057,1539,99.7894660039833,1,0.146829332634127
"2022-08","Doses_0",814805,339,151.962432729303,151.962432729303,5582964,1643,107.48873716542,1,0.145944878025364
"2022-09","Doses_0",776392,357,167.948987109604,167.948987109604,5355244,1600,109.126680315593,1,0.144977894564655
"2022-10","Doses_0",788594,388,179.708443127896,179.708443127896,5480595,1763,117.49376664395,1,0.1438883916801
"2022-11","Doses_0",751467,343,166.714905644559,166.714905644559,5252367,1665,115.784226425914,1,0.143072066365507
"2022-12","Doses_0",764016,447,213.695459257398,213.695459257398,5369659,2253,153.251491388932,1,0.14228389549504
"2020-01","Doses_1",0,0,NA,91.6447800393959,7417010,1861,91.6447800393959,NA,0
"2020-02","Doses_1",0,0,NA,100.277668427727,6884110,1890,100.277668427727,NA,0
"2020-03","Doses_1",0,0,NA,95.2664843993796,7299902,1904,95.2664843993796,NA,0
"2020-04","Doses_1",0,0,NA,88.4707799905338,7010162,1698,88.4707799905338,NA,0
"2020-05","Doses_1",0,0,NA,78.9075391932114,7193210,1554,78.9075391932114,NA,0
"2020-06","Doses_1",0,0,NA,85.683374357359,6914241,1622,85.683374357359,NA,0
"2020-07","Doses_1",0,0,NA,82.8906082612569,7094320,1610,82.8906082612569,NA,0
"2020-08","Doses_1",0,0,NA,87.3824050277596,7043137,1685,87.3824050277596,NA,0
"2020-09","Doses_1",0,0,NA,87.3802020086195,6767434,1619,87.3802020086195,NA,0
"2020-10","Doses_1",0,0,NA,140.413895821012,6932300,2665,140.413895821012,NA,0
"2020-11","Doses_1",0,0,NA,165.708763605474,6614709,3001,165.708763605474,NA,0
"2020-12","Doses_1",800,0,NA,146.806728565335,6750649,2713,146.789330922108,NA,0.000118507124277977
"2021-01","Doses_1",405060,104,93.778699451933,161.591675964929,6661936,2871,157.406608229199,0.580343627801014,0.0608021452022355
"2021-02","Doses_1",1129716,276,89.23393135974,165.231709388404,5945389,2307,141.728615234428,0.540053308714378,0.190015489314492
"2021-03","Doses_1",1690602,385,83.1782110751082,232.698638028603,6507661,2496,140.090886725661,0.357450356305412,0.259786427104915
