"Mon","status","person_days","Deaths","MortalityRate","MR_unvac","person_days_AllGroups","Deaths_AllGroups","Average_mortality_rate","MR_ComparedToUnvacc","GroupSize_Share"
"2020-01","Doses_0",25452848,109,1.56415698549726,1.56415698549726,25452848,109,1.56415698549726,1,1
"2020-02","Doses_0",23807979,70,1.07390467708326,1.07390467708326,23807979,70,1.07390467708326,1,1
"2020-03","Doses_0",25447750,83,1.19129392578912,1.19129392578912,25447750,83,1.19129392578912,1,1
"2020-04","Doses_0",24624173,94,1.39430063295933,1.39430063295933,24624173,94,1.39430063295933,1,1
"2020-05","Doses_0",25442072,89,1.27769664357526,1.27769664357526,25442072,89,1.27769664357526,1,1
"2020-06","Doses_0",24618599,97,1.43912535396511,1.43912535396511,24618599,97,1.43912535396511,1,1
"2020-07","Doses_0",25436267,94,1.34978532816942,1.34978532816942,25436267,94,1.34978532816942,1,1
"2020-08","Doses_0",25433420,86,1.23504821608734,1.23504821608734,25433420,86,1.23504821608734,1,1
"2020-09","Doses_0",24610238,105,1.55834535204414,1.55834535204414,24610238,105,1.55834535204414,1,1
"2020-10","Doses_0",25427174,114,1.63755909327556,1.63755909327556,25427174,114,1.63755909327556,1,1
"2020-11","Doses_0",24603660,107,1.58845269362363,1.58845269362363,24603660,107,1.58845269362363,1,1
"2020-12","Doses_0",25413442,114,1.63844393844801,1.63844393844801,25420353,114,1.63799849671639,1,0.999728131234055
"2021-01","Doses_0",24791688,142,2.09205198129309,2.09205198129309,25416212,142,2.04064634021781,1,0.975428124379825
"2021-02","Doses_0",21846847,140,2.3406123547256,2.3406123547256,22952841,143,2.27556797870904,1,0.951814505228351
"2021-03","Doses_0",22974129,174,2.76630726675209,2.76630726675209,25406937,178,2.5589271150631,1,0.904246308793539
"2021-04","Doses_0",20888928,117,2.04578473342433,2.04578473342433,24582682,126,1.87211061836133,1,0.849741618916927
"2021-05","Doses_0",17552854,83,1.72711229752153,1.72711229752153,25398870,94,1.35177273634614,1,0.691087989347558
"2021-06","Doses_0",10352183,84,2.96372272398971,2.96372272398971,24576521,105,1.56048327588758,1,0.421222474897891
"2021-07","Doses_0",9219768,86,3.40697293033838,3.40697293033838,25392017,128,1.84120859717446,1,0.363097110402848
"2021-08","Doses_0",8430918,59,2.55603838158549,2.55603838158549,25388665,96,1.38108876539983,1,0.332074096845974
"2021-09","Doses_0",7861523,52,2.41594408615226,2.41594408615226,24566806,94,1.39755652403491,1,0.3200059055296
"2021-10","Doses_0",7942207,60,2.75930859016895,2.75930859016895,25382691,96,1.38141381463455,1,0.312898541766119
"2021-11","Doses_0",7156599,62,3.16428236373171,3.16428236373171,24561115,94,1.3978803486731,1,0.291379239093991
